ensembl_gene_id	gene_name	gene_biotype	total_width	cluster
ENSMUSG00000024534	Sncaip	protein_coding	28730	6
ENSMUSG00000024535	Snx24	protein_coding	2874	3
ENSMUSG00000024537	Psmg2	protein_coding	1059	3
ENSMUSG00000024538	Ppic	protein_coding	1286	5
ENSMUSG00000024539	Ptpn2	protein_coding	6492	3
ENSMUSG00000024542	Cep192	protein_coding	8091	3
ENSMUSG00000024544	Ldlrad4	protein_coding	2493	5
ENSMUSG00000024546	4930546C10Rik	protein_coding	363	NA
ENSMUSG00000024548	Setbp1	protein_coding	19906	1
ENSMUSG00000024552	Slc14a2	protein_coding	4221	NA
ENSMUSG00000024553	Galr1	protein_coding	2871	NA
ENSMUSG00000024556	Me2	protein_coding	2455	4
ENSMUSG00000024558	Mapk4	protein_coding	13362	2
ENSMUSG00000024560	Cxxc1	protein_coding	2618	3
ENSMUSG00000024561	Mbd1	protein_coding	2689	3
ENSMUSG00000024563	Smad2	protein_coding	10431	3
ENSMUSG00000024565	Sall3	protein_coding	6886	3
ENSMUSG00000024566	Atp9b	protein_coding	5397	1
ENSMUSG00000024570	Rbfa	protein_coding	1377	3
ENSMUSG00000024571	Gm16286	protein_coding	8816	3
ENSMUSG00000024575	Pde6a	protein_coding	6684	7
ENSMUSG00000024576	Csnk1a1	protein_coding	22131	4
ENSMUSG00000024578	Il17b	protein_coding	692	NA
ENSMUSG00000024579	Pcyox1l	protein_coding	2994	4
ENSMUSG00000024580	Grpel2	protein_coding	4030	2
ENSMUSG00000024581	Napg	protein_coding	7717	2
ENSMUSG00000024583	Txnl1	protein_coding	2558	4
ENSMUSG00000024587	Nars	protein_coding	2632	3
ENSMUSG00000024588	Fech	protein_coding	2901	3
ENSMUSG00000024589	Nedd4l	protein_coding	16375	7
ENSMUSG00000024590	Lmnb1	protein_coding	3502	4
ENSMUSG00000024592	C330018D20Rik	protein_coding	3939	3
ENSMUSG00000024593	Megf10	protein_coding	10920	1
ENSMUSG00000024594	Prrc1	protein_coding	4801	3
ENSMUSG00000024597	Slc12a2	protein_coding	6520	4
ENSMUSG00000024598	Fbn2	protein_coding	10480	6
ENSMUSG00000024600	Slc27a6	protein_coding	2485	NA
ENSMUSG00000024601	Isoc1	protein_coding	2563	3
ENSMUSG00000024603	Dctn4	protein_coding	3714	5
ENSMUSG00000024604	Rbm22	protein_coding	7271	3
ENSMUSG00000024608	Rps14	protein_coding	3507	4
ENSMUSG00000024610	Cd74	protein_coding	3973	7
ENSMUSG00000024613	Tcof1	protein_coding	17864	3
ENSMUSG00000024614	Tmx3	protein_coding	4611	5
ENSMUSG00000024617	Camk2a	protein_coding	14257	7
ENSMUSG00000024619	Cdx1	protein_coding	1750	NA
ENSMUSG00000024620	Pdgfrb	protein_coding	10830	6
ENSMUSG00000024621	Csf1r	protein_coding	8571	5
ENSMUSG00000024622	Hmgxb3	protein_coding	5101	1
ENSMUSG00000024639	Gnaq	protein_coding	6987	4
ENSMUSG00000024640	Psat1	protein_coding	8623	4
ENSMUSG00000024642	Tle4	protein_coding	9100	6
ENSMUSG00000024644	Cndp2	protein_coding	4138	4
ENSMUSG00000024645	Timm21	protein_coding	1315	1
ENSMUSG00000024646	Cyb5	protein_coding	3969	NA
ENSMUSG00000024647	Cbln2	protein_coding	9132	2
ENSMUSG00000024650	Slc22a6	protein_coding	4026	NA
ENSMUSG00000024653	Scgb1a1	protein_coding	476	NA
ENSMUSG00000024654	Asrgl1	protein_coding	4515	7
ENSMUSG00000024658	Gm9750	processed_transcript	2017	2
ENSMUSG00000024659	Anxa1	protein_coding	4558	4
ENSMUSG00000024660	Incenp	protein_coding	3217	3
ENSMUSG00000024661	Fth1	protein_coding	866	4
ENSMUSG00000024663	Rab3il1	protein_coding	12089	3
ENSMUSG00000024664	Fads3	protein_coding	3269	1
ENSMUSG00000024665	Fads2	protein_coding	1508	1
ENSMUSG00000024666	Tmem138	protein_coding	1590	2
ENSMUSG00000024667	Tmem216	protein_coding	5207	2
ENSMUSG00000024668	Sdhaf2	protein_coding	3096	5
ENSMUSG00000024669	Cd5	protein_coding	2069	4
ENSMUSG00000024670	Cd6	protein_coding	9629	NA
ENSMUSG00000024672	Ms4a7	protein_coding	7900	NA
ENSMUSG00000024673	Ms4a1	protein_coding	2057	NA
ENSMUSG00000024675	Ms4a4c	protein_coding	2771	NA
ENSMUSG00000024677	Ms4a6b	protein_coding	9580	4
ENSMUSG00000024678	Ms4a4d	protein_coding	1513	NA
ENSMUSG00000024679	Ms4a6d	protein_coding	3156	4
ENSMUSG00000024680	Ms4a2	protein_coding	2221	NA
ENSMUSG00000024681	Ms4a3	protein_coding	1012	NA
ENSMUSG00000024682	Gif	protein_coding	1537	NA
ENSMUSG00000024683	Mrpl16	protein_coding	1122	4
ENSMUSG00000024687	Osbp	protein_coding	4578	3
ENSMUSG00000024691	Fam111a	protein_coding	11252	4
ENSMUSG00000024694	Keg1	protein_coding	9058	NA
ENSMUSG00000024695	Zfp91	protein_coding	13178	3
ENSMUSG00000024696	Lpxn	protein_coding	1675	6
ENSMUSG00000024697	Gna14	protein_coding	3383	6
ENSMUSG00000024712	Rfk	protein_coding	3836	6
ENSMUSG00000024713	Pcsk5	protein_coding	12458	3
ENSMUSG00000024725	Ostf1	protein_coding	6058	5
ENSMUSG00000024726	2410127L17Rik	protein_coding	2090	NA
ENSMUSG00000024727	Trpm6	protein_coding	6508	5
ENSMUSG00000024728	1700025F22Rik	protein_coding	2448	NA
ENSMUSG00000024729	1700017D01Rik	protein_coding	1194	NA
ENSMUSG00000024730	Ms4a8a	protein_coding	1081	NA
ENSMUSG00000024731	Ms4a10	protein_coding	1007	NA
ENSMUSG00000024732	Ccdc86	protein_coding	5381	4
ENSMUSG00000024734	Zp1	protein_coding	2444	NA
ENSMUSG00000024735	Prpf19	protein_coding	18028	3
ENSMUSG00000024736	Tmem132a	protein_coding	7552	1
ENSMUSG00000024737	Slc15a3	protein_coding	7988	3
ENSMUSG00000024738	Pga5	protein_coding	1416	NA
ENSMUSG00000024740	Ddb1	protein_coding	4155	3
ENSMUSG00000024742	Fen1	protein_coding	8966	4
ENSMUSG00000024743	Syt7	protein_coding	19650	2
ENSMUSG00000024747	Aldh1a7	protein_coding	2066	6
ENSMUSG00000024749	Tmc1	protein_coding	4073	NA
ENSMUSG00000024750	Zfand5	protein_coding	9452	3
ENSMUSG00000024754	Tmem2	protein_coding	13252	4
ENSMUSG00000024757	Slc22a19	protein_coding	7425	NA
ENSMUSG00000024758	Rtn3	protein_coding	14553	NA
ENSMUSG00000024759	Atl3	protein_coding	12850	5
ENSMUSG00000024761	Gm16437	pseudogene	507	NA
ENSMUSG00000024764	Naa40	protein_coding	3275	1
ENSMUSG00000024766	Lipo1	protein_coding	6836	5
ENSMUSG00000024767	Otub1	protein_coding	4971	3
ENSMUSG00000024768	Lipf	protein_coding	1411	NA
ENSMUSG00000024769	Cdc42bpg	protein_coding	6305	2
ENSMUSG00000024770	Lipn	protein_coding	3272	NA
ENSMUSG00000024771	Lipk	protein_coding	2240	NA
ENSMUSG00000024772	Ehd1	protein_coding	5122	5
ENSMUSG00000024773	Atg2a	protein_coding	14937	3
ENSMUSG00000024774	Ankrd22	protein_coding	3770	NA
ENSMUSG00000024776	Stambpl1	protein_coding	8899	5
ENSMUSG00000024777	Ppp2r5b	protein_coding	3598	3
ENSMUSG00000024778	Fas	protein_coding	2041	7
ENSMUSG00000024780	Cdc37l1	protein_coding	2517	2
ENSMUSG00000024781	Lipa	protein_coding	5934	5
ENSMUSG00000024782	Ak3	protein_coding	3313	5
ENSMUSG00000024784	Gpha2	protein_coding	1371	NA
ENSMUSG00000024785	Rcl1	protein_coding	1803	3
ENSMUSG00000024786	1700123I01Rik	protein_coding	2801	NA
ENSMUSG00000024787	Snx15	protein_coding	4921	3
ENSMUSG00000024789	Jak2	protein_coding	9977	5
ENSMUSG00000024790	Sac3d1	protein_coding	1374	3
ENSMUSG00000024791	Cdca5	protein_coding	5553	4
ENSMUSG00000024792	Zfpl1	protein_coding	8148	3
ENSMUSG00000024793	Tnfrsf25	protein_coding	4341	NA
ENSMUSG00000024795	Kif20b	protein_coding	5563	4
ENSMUSG00000024797	Vps51	protein_coding	12115	2
ENSMUSG00000024798	Htr7	protein_coding	16022	NA
ENSMUSG00000024799	Tm7sf2	protein_coding	13723	2
ENSMUSG00000024800	Rpp30	protein_coding	1155	3
ENSMUSG00000024803	Ankrd1	protein_coding	1765	NA
ENSMUSG00000024805	Pcgf5	protein_coding	3063	2
ENSMUSG00000024806	Mlana	protein_coding	623	NA
ENSMUSG00000024807	Syvn1	protein_coding	18765	1
ENSMUSG00000024810	Il33	protein_coding	6553	7
ENSMUSG00000024811	Tnks2	protein_coding	15014	5
ENSMUSG00000024812	Tjp2	protein_coding	4591	6
ENSMUSG00000024815	Trpd52l3	protein_coding	2231	NA
ENSMUSG00000024816	Frmd8	protein_coding	6710	5
ENSMUSG00000024817	Uhrf2	protein_coding	15432	3
ENSMUSG00000024818	Slc25a45	protein_coding	8912	5
ENSMUSG00000024824	Rad9a	protein_coding	2046	3
ENSMUSG00000024826	Dpf2	protein_coding	13299	3
ENSMUSG00000024827	Gldc	protein_coding	3754	1
ENSMUSG00000024829	Mrpl21	protein_coding	4365	3
ENSMUSG00000024830	Rps6kb2	protein_coding	13298	2
ENSMUSG00000024831	Ighmbp2	protein_coding	10831	2
ENSMUSG00000024833	Pola2	protein_coding	4821	3
ENSMUSG00000024835	Coro1b	protein_coding	6446	5
ENSMUSG00000024837	Dmrt1	protein_coding	4832	NA
ENSMUSG00000024841	Eif1ad	protein_coding	2469	4
ENSMUSG00000024842	Cabp4	protein_coding	1431	7
ENSMUSG00000024843	Chka	protein_coding	25460	2
ENSMUSG00000024844	Banf1	protein_coding	1477	4
ENSMUSG00000024845	Tmem134	processed_transcript	18221	2
ENSMUSG00000024846	Cst6	protein_coding	3951	6
ENSMUSG00000024847	Aip	protein_coding	4360	5
ENSMUSG00000024851	Pitpnm1	protein_coding	20044	2
ENSMUSG00000024853	Sf3b2	protein_coding	3231	3
ENSMUSG00000024854	Pold4	protein_coding	910	5
ENSMUSG00000024855	Pacs1	protein_coding	4339	5
ENSMUSG00000024856	Cdk2ap2	protein_coding	4067	7
ENSMUSG00000024857	Cabp2	protein_coding	3352	7
ENSMUSG00000024858	Adrbk1	protein_coding	14737	3
ENSMUSG00000024862	Klc2	protein_coding	15266	2
ENSMUSG00000024863	Mbl2	protein_coding	1101	NA
ENSMUSG00000024866	Acy3	protein_coding	1505	5
ENSMUSG00000024867	Pip5k1b	protein_coding	7237	5
ENSMUSG00000024868	Dkk1	protein_coding	2427	NA
ENSMUSG00000024869	Nudt8	protein_coding	5773	2
ENSMUSG00000024870	Rab1b	protein_coding	1835	5
ENSMUSG00000024871	Doc2g	protein_coding	6235	2
ENSMUSG00000024873	Cnih2	protein_coding	1237	2
ENSMUSG00000024875	Yif1a	protein_coding	1493	3
ENSMUSG00000024878	Cbwd1	protein_coding	1944	4
ENSMUSG00000024883	Rin1	protein_coding	4176	5
ENSMUSG00000024885	Aldh3b1	protein_coding	1875	5
ENSMUSG00000024887	Asah2	protein_coding	4682	5
ENSMUSG00000024889	Rce1	protein_coding	1446	3
ENSMUSG00000024891	Slc29a2	protein_coding	2472	2
ENSMUSG00000024892	Pcx	protein_coding	8273	5
ENSMUSG00000024896	Minpp1	protein_coding	2619	3
ENSMUSG00000024897	Apba1	protein_coding	6632	7
ENSMUSG00000024899	Papss2	protein_coding	3635	5
ENSMUSG00000024900	Cpt1a	protein_coding	4300	6
ENSMUSG00000024901	Peli3	protein_coding	7513	2
ENSMUSG00000024902	Mrpl11	protein_coding	2882	3
ENSMUSG00000024903	Lao1	protein_coding	3147	7
ENSMUSG00000024905	Mtl5	protein_coding	8240	NA
ENSMUSG00000024906	Mus81	protein_coding	12358	1
ENSMUSG00000024907	Gal	protein_coding	712	NA
ENSMUSG00000024908	Ppp6r3	protein_coding	14483	5
ENSMUSG00000024909	Efemp2	protein_coding	11426	3
ENSMUSG00000024910	Ctsw	protein_coding	1232	5
ENSMUSG00000024911	Fibp	protein_coding	1240	3
ENSMUSG00000024912	Fosl1	protein_coding	1707	NA
ENSMUSG00000024913	Lrp5	protein_coding	19648	5
ENSMUSG00000024914	Drap1	protein_coding	7806	4
ENSMUSG00000024921	Smarca2	protein_coding	36283	6
ENSMUSG00000024922	Ovol1	protein_coding	2900	NA
ENSMUSG00000024924	Vldlr	protein_coding	24973	7
ENSMUSG00000024925	Rnaseh2c	protein_coding	3430	4
ENSMUSG00000024926	Kat5	protein_coding	2008	3
ENSMUSG00000024927	Rela	protein_coding	2716	5
ENSMUSG00000024935	Slc1a1	protein_coding	10961	1
ENSMUSG00000024936	Kcnk7	protein_coding	1226	NA
ENSMUSG00000024937	Ehbp1l1	protein_coding	9976	5
ENSMUSG00000024939	Fam89b	protein_coding	3546	1
ENSMUSG00000024940	Ltbp3	protein_coding	5190	2
ENSMUSG00000024941	Scyl1	protein_coding	2637	3
ENSMUSG00000024942	Capn1	protein_coding	6148	5
ENSMUSG00000024943	Smc5	protein_coding	5730	1
ENSMUSG00000024944	Arl2	protein_coding	4051	3
ENSMUSG00000024947	Men1	protein_coding	25134	3
ENSMUSG00000024948	Map4k2	protein_coding	31270	5
ENSMUSG00000024949	Sf1	protein_coding	22265	2
ENSMUSG00000024952	Rps6ka4	protein_coding	6210	5
ENSMUSG00000024953	Prdx5	protein_coding	4344	4
ENSMUSG00000024955	Esrra	protein_coding	4622	3
ENSMUSG00000024957	Kcnk4	protein_coding	1715	7
ENSMUSG00000024958	Gpr137	protein_coding	8307	1
ENSMUSG00000024959	Bad	protein_coding	4512	5
ENSMUSG00000024960	Plcb3	protein_coding	4201	5
ENSMUSG00000024962	Vegfb	protein_coding	2899	2
ENSMUSG00000024963	Dnajc4	protein_coding	1914	2
ENSMUSG00000024965	Fermt3	protein_coding	2587	5
ENSMUSG00000024966	Stip1	protein_coding	2173	3
ENSMUSG00000024968	Rcor2	protein_coding	5897	1
ENSMUSG00000024969	Mark2	protein_coding	35279	1
ENSMUSG00000024970	AI846148	protein_coding	3183	3
ENSMUSG00000024972	Lgals12	protein_coding	7817	NA
ENSMUSG00000024973	Hrasls5	protein_coding	2685	NA
ENSMUSG00000024974	Smc3	protein_coding	6017	3
ENSMUSG00000024975	Pdcd4	protein_coding	6554	4
ENSMUSG00000024976	Shoc2	protein_coding	8171	4
ENSMUSG00000024978	Gpam	protein_coding	3832	5
ENSMUSG00000024979	Tectb	protein_coding	8216	NA
ENSMUSG00000024981	Acsl5	protein_coding	3150	5
ENSMUSG00000024982	Zdhhc6	protein_coding	2284	4
ENSMUSG00000024983	Vti1a	protein_coding	3405	4
ENSMUSG00000024985	Tcf7l2	protein_coding	48237	5
ENSMUSG00000024986	Hhex	protein_coding	4459	5
ENSMUSG00000024987	Cyp26a1	protein_coding	1773	1
ENSMUSG00000024989	Cep55	protein_coding	6586	4
ENSMUSG00000024990	Rbp4	protein_coding	2173	NA
ENSMUSG00000024991	Eif3a	protein_coding	5176	5
ENSMUSG00000024992	Pde6c	protein_coding	5843	7
ENSMUSG00000024993	Fam45a	protein_coding	10826	7
ENSMUSG00000024997	Prdx3	protein_coding	1478	4
ENSMUSG00000024998	Plce1	protein_coding	37111	1
ENSMUSG00000024999	Noc3l	protein_coding	3977	3
ENSMUSG00000025001	Hells	protein_coding	9436	4
ENSMUSG00000025002	Cyp2c55	protein_coding	1995	NA
ENSMUSG00000025003	Cyp2c39	protein_coding	1817	NA
ENSMUSG00000025004	Cyp2c40	protein_coding	4863	NA
ENSMUSG00000025006	Sorbs1	protein_coding	9360	6
ENSMUSG00000025007	Aldh18a1	protein_coding	11808	3
ENSMUSG00000025008	Tctn3	protein_coding	6376	2
ENSMUSG00000025010	Ccnj	protein_coding	11365	3
ENSMUSG00000025013	Tll2	protein_coding	6687	NA
ENSMUSG00000025014	Dntt	protein_coding	4196	NA
ENSMUSG00000025016	Tm9sf3	protein_coding	6144	5
ENSMUSG00000025017	Pik3ap1	protein_coding	2615	3
ENSMUSG00000025019	Lcor	protein_coding	9473	2
ENSMUSG00000025020	Slit1	protein_coding	17010	2
ENSMUSG00000025024	Smndc1	protein_coding	2125	3
ENSMUSG00000025025	Mxi1	protein_coding	14995	3
ENSMUSG00000025026	Add3	protein_coding	13342	6
ENSMUSG00000025027	Xpnpep1	protein_coding	18024	4
ENSMUSG00000025034	Trim8	protein_coding	3230	3
ENSMUSG00000025035	Arl3	protein_coding	822	6
ENSMUSG00000025036	Sfxn2	protein_coding	3210	7
ENSMUSG00000025037	Maoa	protein_coding	4167	5
ENSMUSG00000025038	Efhc2	protein_coding	2554	6
ENSMUSG00000025040	Fundc1	protein_coding	4697	NA
ENSMUSG00000025041	Nt5c2	protein_coding	11524	7
ENSMUSG00000025043	Dusp21	protein_coding	821	NA
ENSMUSG00000025044	Msr1	protein_coding	5110	3
ENSMUSG00000025047	Pdcd11	protein_coding	6041	1
ENSMUSG00000025049	Taf5	protein_coding	3258	2
ENSMUSG00000025050	Pcgf6	protein_coding	2098	2
ENSMUSG00000025051	Samt4	protein_coding	963	NA
ENSMUSG00000025056	Nr0b1	protein_coding	1808	NA
ENSMUSG00000025058	5430427O19Rik	protein_coding	3754	6
ENSMUSG00000025059	Gyk	protein_coding	21614	NA
ENSMUSG00000025060	Slk	protein_coding	13477	3
ENSMUSG00000025064	Col17a1	protein_coding	12180	1
ENSMUSG00000025066	Sfr1	protein_coding	1583	5
ENSMUSG00000025068	Gsto1	protein_coding	2492	4
ENSMUSG00000025069	Gsto2	protein_coding	3434	7
ENSMUSG00000025075	Habp2	protein_coding	9952	NA
ENSMUSG00000025076	Casp7	protein_coding	2350	5
ENSMUSG00000025077	Dclre1a	protein_coding	18659	2
ENSMUSG00000025078	Nhlrc2	protein_coding	3934	3
ENSMUSG00000025081	Tdrd1	protein_coding	20035	NA
ENSMUSG00000025082	Vwa2	protein_coding	4049	1
ENSMUSG00000025083	Afap1l2	protein_coding	15303	6
ENSMUSG00000025085	Ablim1	protein_coding	56399	5
ENSMUSG00000025086	Trub1	protein_coding	8095	2
ENSMUSG00000025089	Gfra1	protein_coding	18491	NA
ENSMUSG00000025090	Ccdc172	protein_coding	1086	NA
ENSMUSG00000025091	Pnliprp2	protein_coding	1567	NA
ENSMUSG00000025092	Hspa12a	protein_coding	5733	7
ENSMUSG00000025094	Slc18a2	protein_coding	3803	1
ENSMUSG00000025102	3110040N11Rik	protein_coding	2744	3
ENSMUSG00000025103	Btbd1	protein_coding	3000	5
ENSMUSG00000025104	Hdgfrp3	protein_coding	11072	3
ENSMUSG00000025105	Bnc1	protein_coding	4653	1
ENSMUSG00000025127	Gcgr	protein_coding	7137	NA
ENSMUSG00000025128	Bhlhe22	protein_coding	3185	1
ENSMUSG00000025129	Ppp1r27	protein_coding	771	NA
ENSMUSG00000025130	P4hb	protein_coding	4045	5
ENSMUSG00000025132	Arhgdia	protein_coding	4017	5
ENSMUSG00000025133	Ints4	protein_coding	3243	3
ENSMUSG00000025134	Alyref	protein_coding	4886	4
ENSMUSG00000025135	Anapc11	protein_coding	6257	3
ENSMUSG00000025137	Pcyt2	protein_coding	10497	2
ENSMUSG00000025138	Sirt7	protein_coding	15535	2
ENSMUSG00000025139	Tollip	protein_coding	6408	6
ENSMUSG00000025140	Pycr1	protein_coding	7134	1
ENSMUSG00000025141	Myadml2	protein_coding	1402	NA
ENSMUSG00000025142	Aspscr1	protein_coding	21089	3
ENSMUSG00000025144	Stra13	protein_coding	3629	3
ENSMUSG00000025145	Lrrc45	protein_coding	7623	1
ENSMUSG00000025147	Mob2	protein_coding	1456	5
ENSMUSG00000025150	Cbr2	protein_coding	2721	4
ENSMUSG00000025151	Maged1	protein_coding	10852	3
ENSMUSG00000025153	Fasn	protein_coding	11320	1
ENSMUSG00000025154	Arhgap19	protein_coding	12599	4
ENSMUSG00000025155	Dus1l	protein_coding	13829	3
ENSMUSG00000025156	Gps1	protein_coding	9255	3
ENSMUSG00000025157	Zdhhc16	protein_coding	1830	1
ENSMUSG00000025158	Rfng	protein_coding	4585	1
ENSMUSG00000025159	Mms19	protein_coding	44348	2
ENSMUSG00000025161	Slc16a3	protein_coding	12367	2
ENSMUSG00000025162	Csnk1d	protein_coding	10809	4
ENSMUSG00000025163	Cd7	protein_coding	1574	NA
ENSMUSG00000025165	Sectm1a	protein_coding	5148	NA
ENSMUSG00000025169	Ogfod3	protein_coding	1308	5
ENSMUSG00000025170	Rab40b	protein_coding	3021	NA
ENSMUSG00000025171	Ubtd1	protein_coding	1527	5
ENSMUSG00000025172	Ankrd2	protein_coding	1100	NA
ENSMUSG00000025173	Wdr45b	protein_coding	7012	5
ENSMUSG00000025175	Fn3k	protein_coding	6691	2
ENSMUSG00000025176	Hoga1	protein_coding	3686	4
ENSMUSG00000025178	Pi4k2a	protein_coding	3771	3
ENSMUSG00000025184	R3hcc1l	protein_coding	9567	3
ENSMUSG00000025185	Loxl4	protein_coding	9874	NA
ENSMUSG00000025188	Hps1	protein_coding	19982	1
ENSMUSG00000025189	Cnnm1	protein_coding	5039	7
ENSMUSG00000025190	Got1	protein_coding	4812	7
ENSMUSG00000025192	Entpd7	protein_coding	10891	1
ENSMUSG00000025193	Cutc	protein_coding	4004	6
ENSMUSG00000025194	Abcc2	protein_coding	6942	NA
ENSMUSG00000025195	Dnmbp	protein_coding	4882	6
ENSMUSG00000025196	Cpn1	protein_coding	4040	NA
ENSMUSG00000025197	Cyp2c44	protein_coding	1964	NA
ENSMUSG00000025198	Erlin1	protein_coding	13396	5
ENSMUSG00000025199	Chuk	protein_coding	12755	2
ENSMUSG00000025200	Cwf19l1	protein_coding	3574	2
ENSMUSG00000025201	Bloc1s2-ps	pseudogene	1302	NA
ENSMUSG00000025202	Scd3	protein_coding	3470	2
ENSMUSG00000025203	Scd2	protein_coding	5453	5
ENSMUSG00000025204	Ndufb8	protein_coding	6157	4
ENSMUSG00000025207	Sema4g	protein_coding	13390	1
ENSMUSG00000025208	Mrpl43	protein_coding	1213	4
ENSMUSG00000025209	Peo1	protein_coding	3488	1
ENSMUSG00000025212	Sfxn3	protein_coding	8676	2
ENSMUSG00000025213	Kazald1	protein_coding	3005	7
ENSMUSG00000025215	Tlx1	protein_coding	3696	NA
ENSMUSG00000025216	Lbx1	protein_coding	2479	NA
ENSMUSG00000025217	Btrc	protein_coding	12538	2
ENSMUSG00000025218	Poll	protein_coding	2324	3
ENSMUSG00000025219	Fgf8	protein_coding	5516	NA
ENSMUSG00000025220	Mgea5	protein_coding	5024	1
ENSMUSG00000025221	Kcnip2	protein_coding	12506	7
ENSMUSG00000025223	Ldb1	protein_coding	11956	1
ENSMUSG00000025224	Gbf1	protein_coding	24492	3
ENSMUSG00000025225	Nfkb2	protein_coding	6259	5
ENSMUSG00000025226	Fbxl15	protein_coding	2591	1
ENSMUSG00000025227	Tmem180	protein_coding	9185	4
ENSMUSG00000025228	Actr1a	protein_coding	2742	5
ENSMUSG00000025229	Pitx3	protein_coding	2173	NA
ENSMUSG00000025231	Sufu	protein_coding	11510	NA
ENSMUSG00000025232	Hexa	protein_coding	1865	4
ENSMUSG00000025234	Arih1	protein_coding	12805	3
ENSMUSG00000025235	Bbs4	protein_coding	2542	2
ENSMUSG00000025236	Adpgk	protein_coding	2470	3
ENSMUSG00000025237	Parp6	protein_coding	7529	1
ENSMUSG00000025239	Limd1	protein_coding	4849	4
ENSMUSG00000025240	Sacm1l	protein_coding	3433	5
ENSMUSG00000025241	Fyco1	protein_coding	17632	2
ENSMUSG00000025243	Slc6a20b	protein_coding	13831	NA
ENSMUSG00000025245	Lztfl1	protein_coding	23177	2
ENSMUSG00000025246	Tbl1x	protein_coding	8845	3
ENSMUSG00000025255	Zfhx4	protein_coding	44841	1
ENSMUSG00000025257	Ribc1	protein_coding	1713	NA
ENSMUSG00000025260	Hsd17b10	protein_coding	3833	5
ENSMUSG00000025261	Huwe1	protein_coding	62231	3
ENSMUSG00000025262	Fam120c	protein_coding	11286	7
ENSMUSG00000025264	Tsr2	protein_coding	9827	7
ENSMUSG00000025265	Fgd1	protein_coding	8696	3
ENSMUSG00000025266	Gnl3l	protein_coding	12732	5
ENSMUSG00000025268	Maged2	protein_coding	14799	4
ENSMUSG00000025269	Apex2	protein_coding	19282	2
ENSMUSG00000025270	Alas2	protein_coding	4983	7
ENSMUSG00000025271	Pfkfb1	protein_coding	9267	1
ENSMUSG00000025272	Tro	protein_coding	27296	1
ENSMUSG00000025277	Abhd6	protein_coding	3419	5
ENSMUSG00000025278	Flnb	protein_coding	9100	5
ENSMUSG00000025279	Dnase1l3	protein_coding	5250	4
ENSMUSG00000025280	Polr3a	protein_coding	4683	2
ENSMUSG00000025283	Sat1	protein_coding	7255	4
ENSMUSG00000025287	Acot9	protein_coding	4783	5
ENSMUSG00000025288	4933436I01Rik	protein_coding	1426	NA
ENSMUSG00000025289	Prdx4	protein_coding	2950	4
ENSMUSG00000025290	Rps24	protein_coding	1305	4
ENSMUSG00000025314	Ptprj	protein_coding	19468	6
ENSMUSG00000025316	Banp	protein_coding	19415	2
ENSMUSG00000025317	Car5a	protein_coding	1707	4
ENSMUSG00000025318	Jph3	protein_coding	9260	7
ENSMUSG00000025321	Itgb8	protein_coding	14383	1
ENSMUSG00000025323	Sp4	protein_coding	5770	2
ENSMUSG00000025324	Atp10a	protein_coding	5469	7
ENSMUSG00000025326	Ube3a	protein_coding	5097	3
ENSMUSG00000025328	Padi3	protein_coding	6382	NA
ENSMUSG00000025329	Padi1	protein_coding	3754	NA
ENSMUSG00000025330	Padi4	protein_coding	6464	NA
ENSMUSG00000025332	Kdm5c	protein_coding	21270	3
ENSMUSG00000025333	Gpr143	protein_coding	3248	5
ENSMUSG00000025337	Sbds	protein_coding	3278	5
ENSMUSG00000025340	Rabgef1	protein_coding	10115	7
ENSMUSG00000025347	Mettl7b	protein_coding	1227	NA
ENSMUSG00000025348	Itga7	protein_coding	4013	2
ENSMUSG00000025350	Rdh5	protein_coding	5618	2
ENSMUSG00000025351	Cd63	protein_coding	1835	4
ENSMUSG00000025352	Gdf11	protein_coding	4062	1
ENSMUSG00000025353	Ormdl2	protein_coding	2055	3
ENSMUSG00000025354	Dnajc14	protein_coding	4229	5
ENSMUSG00000025355	Mmp19	protein_coding	3410	4
ENSMUSG00000025357	Dgka	protein_coding	2808	5
ENSMUSG00000025358	Cdk2	protein_coding	4720	5
ENSMUSG00000025359	Pmel	protein_coding	2130	5
ENSMUSG00000025362	Rps26	protein_coding	447	4
ENSMUSG00000025364	Pa2g4	protein_coding	3942	4
ENSMUSG00000025366	Esyt1	protein_coding	3687	5
ENSMUSG00000025369	Smarcc2	protein_coding	14211	1
ENSMUSG00000025370	Cdh9	protein_coding	3219	6
ENSMUSG00000025371	Chmp6	protein_coding	4450	4
ENSMUSG00000025372	Baiap2	protein_coding	17411	3
ENSMUSG00000025373	Rnf41	protein_coding	7695	3
ENSMUSG00000025374	Nabp2	protein_coding	7264	4
ENSMUSG00000025375	Aatk	protein_coding	30055	7
ENSMUSG00000025377	Enthd2	protein_coding	10463	1
ENSMUSG00000025380	Fscn2	protein_coding	2973	7
ENSMUSG00000025381	Cnpy2	protein_coding	1017	4
ENSMUSG00000025383	Il23a	protein_coding	1359	1
ENSMUSG00000025384	2310003H01Rik	protein_coding	14225	NA
ENSMUSG00000025386	Pde6g	protein_coding	3881	7
ENSMUSG00000025389	Mip	protein_coding	2144	NA
ENSMUSG00000025393	Atp5b	protein_coding	7871	3
ENSMUSG00000025395	Prim1	protein_coding	7826	3
ENSMUSG00000025396	Hsd17b6	protein_coding	1392	NA
